"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"RPL12P14" 0 0 0 0 0 0 0 0
"UQCRHL" 0 0 0 0 0 0 0 0
"SPEN-AS1" 0 0 0 0 0 0 0 0
"SPEN" 0 0 0 0 0 0 0 0
"ZBTB17" 0 0 0 0 0 0 0 0
"SRARP" 0 0 0 0 0 0 0 0
"HSPB7" 0 0 0 0 0 0 0 0
"CLCNKA" 0 0 0 0 0 0 0 0
"CLCNKB" 0 0 0 0 0 0 0 0
"FAM131C" 0 0 0 0 0 0 0 0
"EPHA2" 0 0 0 0 0 0 0 0
"EPHA2-AS1" 0 0 0 0 0 0 0 0
"ARHGEF19" 0 0 0 0 0 0 0 0
"ARHGEF19-AS1" 0 0 0 0 0 0 0 0
"ANO7L1" 0 0 0 0 0 0 0 0
"CPLANE2" 0 0 0 0 0 0 0 0
"MT1XP1" 0 0 0 0 0 0 0 0
"FBXO42" 0 0 0 0 0 0 0 0
"SZRD1" 0 0 0 0 0 0 0 0
"SPATA21" 0 0 0 0 0 0 0 0
"NECAP2" 0 0 0 0 0 0 0 0
"LINC01772" 0 0 0 0 0 0 0 0
"CROCCP3" 0 0 0 0 0 0 0 0
"LINC01783" 0 0 0 0 0 0 0 0
"NBPF1" 0 0 0 0 0 0 0 0
"CROCCP2" 0 0 0 0 0 0 0 0
"MST1P2" 0 0 0 0 0 0 0 0
"EIF1AXP1" 0 0 0 0 0 0 0 0
"ESPNP" 0 0 0 0 0 0 0 0
"CROCC" 0 0 0 0 0 0 0 0
"MST1L" 0 0 0 0 0 0 0 0
"PDE4DIPP9" 0 0 0 0 0 0 0 0
"MFAP2" 0 0 0 0 0 0 0 0
"ATP13A2" 0 0 0 0 0 0 0 0
"SDHB" 0 0 0 0 0 0 0 0
"PADI2" 0 0 0 0 0 0 0 0
"PADI1" 0 0 0 0 0 0 0 0
"PADI4" 0 0 0 0 0 0 0 0
"RCC2" 0 0 0 0 0 0 0 0
"RCC2-AS1" 0 0 0 0 0 0 0 0
"ARHGEF10L" 0 0 0 0 0 0 0 0
"IGSF21" 0 0 0 0 0 0 0 0
"KLHDC7A" 0 0 0 0 0 0 0 0
"PAX7" 0 0 0 0 0 0 0 0
"ALDH4A1" 0 0 0 0 0 0 0 0
"IFFO2" 0 0 0 0 0 0 0 0
"UBR4" 0 0 0 0 0 0 0 0
"EMC1-AS1" 0 0 0 0 0 0 0 0
"EMC1" 0 0 0 0 0 0 0 0
"MRTO4" 0 0 0 0 0 0 0 0
"AKR7L" 0 0 0 0 0 0 0 0
"AKR7A3" 0 0 0 0 0 0 0 0
"AKR7A2" 0 0 0 0 0 0 0 0
"RNU6-1099P" 0 0 0 0 0 0 0 0
"SLC66A1" 0 0 0 0 0 0 0 0
"CAPZB" 0 0 0 0 0 0 0 0
"MICOS10" 0 0 0 0 0 0 0 0
"NBL1" 0 0 0 0 0 0 0 0
"MICOS10-NBL1" 0 0 0 0 0 0 0 0
"HTR6" 0 0 0 0 0 0 0 0
"TMCO4" 0 0 0 0 0 0 0 0
"RNF186" 0 0 0 0 0 0 0 0
"OTUD3" 0 0 0 0 0 0 0 0
"PLA2G2A" 0 0 0 0 0 0 0 0
"PLA2G5" 0 0 0 0 0 0 0 0
"PLA2G2D" 0 0 0 0 0 0 0 0
"PLA2G2C" 0 0 0 0 0 0 0 0
"UBXN10" 0 0 0 0 0 0 0 0
"VWA5B1" 0 0 0 0 0 0 0 0
"LINC01141" 0 0 0 0 0 0 0 0
"CAMK2N1" 0 0 0 0 0 0 0 0
"MUL1" 0 0 0 0 0 0 0 0
"FAM43B" 0 0 0 0 0 0 0 0
"CDA" 0 0 0 0 0 0 0 0
"PINK1" 0 0 0 0 0 0 0 0
"PINK1-AS" 0 0 0 0 0 0 0 0
"DDOST" 0 0 0 0 0 0 0 0
"KIF17" 0 0 0 0 0 0 0 0
"SH2D5" 0 0 0 0 0 0 0 0
"HP1BP3" 0 0 0 0 0 0 0 0
"EIF4G3" 0 0 0 0 0 0 0 0
"RPS15AP6" 0 0 0 0 0 0 0 0
"ECE1" 0 0 0 0 0 0 0 0
"ECE1-AS1" 0 0 0 0 0 0 0 0
"NBPF2P" 0 0 0 0 0 0 0 0
"HS6ST1P1" 0 0 0 0 0 0 0 0
"NBPF3" 0 0 0 0 0 0 0 0
"ALPL" 0 0 0 0 0 0 0 0
"LINC02596" 0 0 0 0 0 0 0 0
"RAP1GAP" 0 0 0 0 0 0 0 0
"USP48" 0 0 0 0 0 0 0 0
"LDLRAD2" 0 0 0 0 0 0 0 0
"HSPG2" 0 0 0 0 0 0 0 0
"LINC01635" 0 0 0 0 0 0 0 0
"LINC00339" 0 0 0 0 0 0 0 0
"CDC42-AS1" 0 0 0 0 0 0 0 0
"CDC42" 0 0 0 0 0 0 0 0
"CDC42-IT1" 0 0 0 0 0 0 0 0
"MPHOSPH6P1" 0 0 0 0 0 0 0 0
"WNT4" 0 0 0 0 0 0 0 0
"ZBTB40" 0 0 0 0 0 0 0 0
"ZBTB40-IT1" 0 0 0 0 0 0 0 0
"C1QA" 0 0 0 0 0 0 0 0
"C1QC" 0 0 0 0 0 0 0 0
"C1QB" 0 0 0 0 0 0 0 0
"EPHB2" 0 0 0 0 0 0 0 0
"TEX46" 0 0 0 0 0 0 0 0
"KDM1A" 0 0 0 0 0 0 0 0
"LUZP1" 0 0 0 0 0 0 0 0
"HTR1D" 0 0 0 0 0 0 0 0
"LINC01355" 0 0 0 0 0 0 0 0
"HNRNPR" 0 0 0 0 0 0 0 0
"ZNF436" 0 0 0 0 0 0 0 0
"ZNF436-AS1" 0 0 0 0 0 0 0 0
"TCEA3" 0 0 0 0 0 0 0 0
"ASAP3" 0 0 0 0 0 0 0 0
"E2F2" 0 0 0 0 0 0 0 0
"ID3" 0 0 0 0 0 0 0 0
"MDS2" 0 0 0 0 0 0 0 0
"RPL11" 0 0 0 0 0 0 0 0
"ELOA-AS1" 0 0 0 0 0 0 0 0
"ELOA" 0 0 0 0 0 0 0 0
"PITHD1" 0 0 0 0 0 0 0 0
"LYPLA2" 0 0 0 0 0 0 0 0
"GALE" 0 0 0 0 0 0 0 0
"HMGCL" 0 0 0 0 0 0 0 0
"FUCA1" 0 0 0 0 0 0 0 0
"CNR2" 0 0 0 0 0 0 0 0
"BTBD6P1" 0 0 0 0 0 0 0 0
"PNRC2" 0 0 0 0 0 0 0 0
"SRSF10" 0 0 0 0 0 0 0 0
"MYOM3" 0 0 0 0 0 0 0 0
"IL22RA1" 0 0 0 0 0 0 0 0
"IFNLR1" 0 0 0 0 0 0 0 0
"GRHL3" 0 0 0 0 0 0 0 0
"LINC02800" 0 0 0 0 0 0 0 0
"GRHL3-AS1" 0 0 0 0 0 0 0 0
"STPG1" 0 0 0 0 0 0 0 0
"NIPAL3" 0 0 0 0 0 0 0 0
"RCAN3AS" 0 0 0 0 0 0 0 0
"RCAN3" 0 0 0 0 0 0 0 0
"NCMAP-DT" 0 0 0 0 0 0 0 0
"NCMAP" 0 0 0 0 0 0 0 0
"SRRM1" 0 0 0 0 0 0 0 0
"CLIC4" 0 0 0 0 0 0 0 0
"RUNX3" 0 0 0 0 0 0 0 0
"RUNX3-AS1" 0 0 0 0 0 0 0 0
"SYF2" 0 0 0 0 0 0 0 0
"RSRP1" 0 0 0 0 0 0 0 0
"RHD" 0 0 0 0 0 0 0 0
"SDHDP6" 0 0 0 0 0 0 0 0
"TMEM50A" 0 0 0 0 0 0 0 0
"RHCE" 0 0 0 0 0 0 0 0
"MACO1" 0 0 0 0 0 0 0 0
"LDLRAP1" 0 0 0 0 0 0 0 0
"MAN1C1" 0 0 0 0 0 0 0 0
"SELENON" 0 0 0 0 0 0 0 0
"MTFR1L" 0 0 0 0 0 0 0 0
"AUNIP" 0 0 0 0 0 0 0 0
"PAQR7" 0 0 0 0 0 0 0 0
"STMN1" 0 0 0 0 0 0 0 0
"PAFAH2" 0 0 0 0 0 0 0 0
"EXTL1" 0 0 0 0 0 0 0 0
"SLC30A2" 0 0 0 0 0 0 0 0
"TRIM63" 0 0 0 0 0 0 0 0
"PDIK1L" 0 0 0 0 0 0 0 0
"FAM110D" 0 0 0 0 0 0 0 0
"ZNF593OS" 0 0 0 0 0 0 0 0
"ZNF593" 0 0 0 0 0 0 0 0
"CNKSR1" 0 0 0 0 0 0 0 0
"CATSPER4" 0 0 0 0 0 0 0 0
"ZPLD2P" 0 0 0 0 0 0 0 0
"CEP85" 0 0 0 0 0 0 0 0
"SH3BGRL3" 0 0 0 0 0 0 0 0
"UBXN11" 0 0 0 0 0 0 0 0
"CD52" 0 0 0 0 0 0 0 0
"CRYBG2" 0 0 0 0 0 0 0 0
"ZNF683" 0 0 0 0 0 0 0 0
"DHDDS" 0 0 0 0 0 0 0 0
"RPL17P9" 0 0 0 0 0 0 0 0
"DHDDS-AS1" 0 0 0 0 0 0 0 0
"HMGN2" 0 0 0 0 0 0 0 0
"RPS6KA1" 0 0 0 0 0 0 0 0
"ARID1A" 0 0 0 0 0 0 0 0
"PIGV" 0 0 0 0 0 0 0 0
"ZDHHC18" 0 0 0 0 0 0 0 0
"SFN" 0 0 0 0 0 0 0 0
"GPN2" 0 0 0 0 0 0 0 0
"GPATCH3" 0 0 0 0 0 0 0 0
"NUDC" 0 0 0 0 0 0 0 0
"NR0B2" 0 0 0 0 0 0 0 0
"KDF1" 0 0 0 0 0 0 0 0
"RPL32P6" 0 0 0 0 0 0 0 0
"OSTCP2" 0 0 0 0 0 0 0 0
"TRNP1" 0 0 0 0 0 0 0 0
"TENT5B" 0 0 0 0 0 0 0 0
"SLC9A1" 0 0 0 0 0 0 0 0
"NPM1P39" 0 0 0 0 0 0 0 0
"WDTC1" 0 0 0 0 0 0 0 0
"TMEM222" 0 0 0 0 0 0 0 0
"RNU6-48P" 0 0 0 0 0 0 0 0
"ACTG1P20" 0 0 0 0 0 0 0 0
"SYTL1" 0 0 0 0 0 0 0 0
"MAP3K6" 0 0 0 0 0 0 0 0
"FCN3" 0 0 0 0 0 0 0 0
"CD164L2" 0 0 0 0 0 0 0 0
"GPR3" 0 0 0 0 0 0 0 0
"WASF2" 0 0 0 0 0 0 0 0
"AHDC1" 0 0 0 0 0 0 0 0
"FGR" 0 0 0 0 0 0 0 0
"LINC02574" 0 0 0 0 0 0 0 0
"IFI6" 0 0 0 0 0 0 0 0
"FAM76A" 0 0 0 0 0 0 0 0
"STX12" 0 0 0 0 0 0 0 0
"PPP1R8" 0 0 0 0 0 0 0 0
"THEMIS2" 0 0 0 0 0 0 0 0
"RPA2" 0 0 0 0 0 0 0 0
"SMPDL3B" 0 0 0 0 0 0 0 0
"XKR8" 0 0 0 0 0 0 0 0
"EYA3" 0 0 0 0 0 0 0 0
